data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  ;

set POOLS :=  pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10 ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10 sp11 sp12 ;

param:		capacity	varcost		revenue		:=
f1		166.00		21.00		.
f2		240.00		43.00		.
f3		217.00		28.00		.
f4		150.00		37.00		.
f5		161.00		50.00		.
f6		118.00		13.00		.
f7		59.00		14.00		.
f8		219.00		25.00		.
f9		169.00		31.00		.
f10		273.00		14.00		.
f11		66.00		36.00		.
f12		69.00		31.00		.
f13		177.00		37.00		.
f14		62.00		25.00		.
f15		178.00		50.00		.
f16		9.00		43.00		.
f17		302.00		26.00		.
f18		96.00		29.00		.
f19		175.00		34.00		.
f20		63.00		14.00		.
pl1		97.00		.		.
pl2		158.00		.		.
pl3		91.00		.		.
pl4		94.00		.		.
pl5		147.00		.		.
pl6		138.00		.		.
pl7		177.00		.		.
pl8		184.00		.		.
pl9		113.00		.		.
pl10		137.00		.		.
B1		176.00		.		48.00
B2		265.00		.		44.00
B3		195.00		.		50.00
B4		107.00		.		40.00
B5		183.00		.		50.00
B6		254.00		.		48.00
B7		119.00		.		50.00
B8		231.00		.		49.00
B9		265.00		.		41.00
B10		250.00		.		48.00
B11		231.00		.		41.00
B12		247.00		.		40.00
B13		268.00		.		42.00
B14		215.00		.		41.00
B15		14.00		.		40.00		;

 set INPOOLARCS := (f1,pl1) , (f1,pl3) , (f2,pl2) , (f2,pl3) , (f2,pl4) , (f2,pl6) , (f3,pl6) , (f3,pl9) , (f3,pl10) , (f4,pl2) , (f4,pl4) , (f4,pl9) , (f5,pl2) , (f5,pl3) , (f5,pl9) , (f6,pl1) , (f6,pl3) , (f6,pl8) , (f6,pl10) , (f7,pl2) , (f7,pl4) , (f7,pl5) , (f7,pl8) , (f8,pl7) , (f8,pl8) , (f9,pl3) , (f9,pl7) , (f9,pl9) , (f10,pl6) , (f10,pl7) , (f10,pl9) , (f11,pl1) , (f11,pl2) , (f11,pl9) , (f12,pl1) , (f12,pl5) , (f12,pl9) , (f13,pl5) , (f13,pl6) , (f14,pl1) , (f14,pl2) , (f14,pl3) , (f14,pl4) , (f14,pl6) , (f14,pl8) , (f14,pl9) , (f15,pl1) , (f15,pl6) , (f15,pl10) , (f16,pl6) , (f16,pl9) , (f16,pl10) , (f17,pl2) , (f17,pl4) , (f18,pl1) , (f18,pl2) , (f18,pl3) , (f18,pl6) , (f20,pl4) , (f20,pl5) , (f20,pl6) , (f20,pl10)  ;

 set OUTPOOLARCS := (pl1,B4) , (pl1,B8) , (pl1,B9) , (pl1,B10) , (pl1,B11) , (pl2,B7) , (pl2,B12) , (pl2,B13) , (pl2,B14) , (pl3,B1) , (pl3,B2) , (pl3,B3) , (pl3,B7) , (pl3,B13) , (pl4,B3) , (pl4,B5) , (pl4,B6) , (pl4,B10) , (pl4,B13) , (pl5,B1) , (pl5,B8) , (pl5,B9) , (pl5,B12) , (pl5,B13) , (pl5,B15) , (pl6,B1) , (pl6,B8) , (pl6,B11) , (pl6,B13) , (pl6,B15) , (pl7,B4) , (pl7,B5) , (pl7,B6) , (pl7,B8) , (pl7,B11) , (pl7,B14) , (pl7,B15) , (pl8,B1) , (pl8,B6) , (pl8,B9) , (pl8,B11) , (pl8,B12) , (pl8,B15) , (pl9,B1) , (pl9,B2) , (pl9,B3) , (pl9,B4) , (pl9,B9) , (pl9,B10) , (pl9,B13) , (pl10,B4) , (pl10,B11) , (pl10,B14) , (pl10,B15)  ;

 set OUTPOOLARCS := (f1,B1) , (f1,B13) , (f2,B4) , (f2,B10) , (f2,B14) , (f3,B8) , (f3,B9) , (f3,B15) , (f4,B5) , (f5,B2) , (f5,B4) , (f5,B6) , (f5,B15) , (f6,B7) , (f6,B9) , (f6,B14) , (f6,B15) , (f7,B7) , (f7,B10) , (f7,B15) , (f8,B2) , (f8,B4) , (f8,B5) , (f8,B8) , (f8,B15) , (f9,B8) , (f9,B11) , (f10,B11) , (f10,B13) , (f12,B3) , (f12,B6) , (f12,B12) , (f13,B7) , (f13,B11) , (f14,B2) , (f15,B1) , (f15,B8) , (f15,B11) , (f15,B15) , (f16,B1) , (f16,B2) , (f16,B8) , (f16,B12) , (f17,B3) , (f17,B5) , (f17,B12) , (f17,B15) , (f18,B4) , (f18,B10) , (f18,B12) , (f18,B14) , (f18,B15) , (f19,B14) , (f20,B1) , (f20,B7)  ;

param              speclevel:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
f1   31.81   20.24   46.07   51.68   67.54   42.38   13.12   47.28   46.15   68.95   10.02   72.96
f2   34.73   38.49   28.09   40.21   34.18   3.33    65.84   16.58   42.82   56.70   72.61   29.68
f3   28.82   50.27   33.39   65.67   7.49    55.40   69.83   27.06   29.77   25.10   73.33   77.38
f4   69.76   16.55   7.09    14.78   34.81   45.33   51.09   73.74   23.51   17.19   67.10   13.47
f5   39.28   13.01   37.76   65.85   75.68   4.01    8.22    7.76    10.63   22.84   9.97    7.12
f6   77.99   49.99   70.67   54.29   6.49    72.33   63.73   7.80    56.56   52.13   74.37   3.97
f7   79.04   11.51   1.32    3.04    66.51   71.80   14.54   21.04   74.75   53.37   28.01   48.15
f8   31.08   24.38   35.34   34.78   18.20   52.77   25.05   39.56   50.73   32.42   7.29    15.36
f9   59.74   70.27   7.55    46.74   45.11   66.78   13.17   3.60    11.55   28.67   50.79   69.88
f10  41.44   72.35   57.77   25.08   52.58   63.88   15.49   30.02   65.70   10.67   20.64   22.21
f11  12.66   28.06   62.79   32.81   68.22   28.73   66.77   23.53   27.29   41.82   61.47   64.09
f12  23.59   43.76   58.93   57.98   48.87   13.62   34.98   74.71   44.59   56.08   56.08   52.13
f13  26.81   8.25    53.11   54.35   43.33   27.44   16.07   42.06   48.08   52.67   42.80   58.14
f14  77.82   69.55   66.69   6.80    41.42   56.37   34.87   77.07   40.06   57.96   47.70   8.96
f15  32.47   74.54   18.37   12.67   52.48   58.57   57.54   68.32   73.86   76.42   1.17    28.15
f16  42.00   9.55    61.75   17.84   23.40   57.34   35.64   2.98    56.68   58.79   76.47   17.05
f17  25.02   71.90   60.13   34.48   57.76   57.08   68.52   25.76   61.49   46.92   31.93   69.74
f18  40.15   29.97   34.91   12.35   14.38   16.92   64.63   53.09   7.50    36.12   57.87   63.27
f19  45.93   70.78   52.53   38.45   73.26   67.69   37.83   76.91   9.23    47.49   7.06    63.55
f20  17.00   78.31   4.88    42.58   77.08   29.91   44.87   51.62   35.89   36.77   0.62    26.36    ;

param              minspec:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
B1   14.17   9.87    3.65    9.70    8.42    4.93    16.43   17.19   1.61    17.78   2.24    14.91
B2   16.36   13.52   6.08    1.13    8.17    11.54   0.32    4.95    15.92   15.04   1.30    16.00
B3   9.54    10.73   12.57   11.36   18.17   17.18   15.20   11.14   0.44    12.00   3.44    19.80
B4   7.28    12.74   9.42    3.93    1.46    4.42    15.61   14.68   3.77    1.77    14.94   14.03
B5   15.54   11.97   1.71    14.89   6.08    2.41    0.64    4.57    2.25    10.65   16.25   8.58
B6   19.00   12.77   12.10   14.89   2.44    10.96   11.49   7.81    2.62    19.59   14.10   4.73
B7   18.30   5.76    1.09    7.73    19.83   19.23   4.03    6.57    13.79   18.27   8.16    8.84
B8   1.89    1.23    0.76    19.60   9.48    5.00    0.82    6.17    12.10   5.58    13.82   16.71
B9   2.06    14.81   17.45   4.25    5.59    0.87    0.74    14.04   3.94    16.39   16.47   3.33
B10  19.58   2.59    7.47    11.55   10.89   4.08    10.82   18.56   3.10    18.26   15.96   12.72
B11  7.03    14.56   6.23    1.60    7.65    9.25    15.88   11.67   5.42    15.38   14.07   12.01
B12  10.94   17.87   13.50   16.56   0.01    0.48    14.43   14.08   14.88   2.79    9.54    19.88
B13  9.80    7.60    3.37    14.63   5.74    15.77   19.92   8.14    9.90    17.57   9.27    6.48
B14  9.73    18.48   18.91   6.02    5.72    6.73    7.64    3.23    0.27    19.22   12.07   13.62
B15  16.21   0.08    1.08    2.01    14.66   6.48    18.29   19.09   10.22   15.18   1.77    12.50    ;

param              maxspec:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
B1   89.68   54.59   78.86   74.96   42.98   77.22   90.33   31.79   39.65   89.70   84.05   26.38
B2   85.69   85.39   97.76   87.50   27.58   84.67   21.70   26.11   65.66   93.72   91.80   51.56
B3   77.02   75.43   96.30   44.72   42.89   29.77   99.86   36.27   77.15   21.51   68.04   56.75
B4   84.49   66.67   68.76   53.45   39.62   57.70   39.28   98.95   39.34   95.30   52.75   47.93
B5   89.70   26.76   72.04   67.57   50.66   53.50   90.16   74.91   35.73   31.02   91.10   39.92
B6   45.33   32.41   66.21   40.31   58.62   51.06   86.25   23.72   82.99   91.64   54.14   92.58
B7   73.62   92.09   77.65   78.34   84.48   28.58   34.15   66.51   39.60   33.72   52.25   35.43
B8   48.30   83.46   29.36   53.85   46.11   56.44   35.14   91.93   85.62   80.93   50.29   52.76
B9   36.85   38.28   27.92   76.81   98.21   89.69   44.12   87.31   48.20   57.38   87.65   43.51
