data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  ;

set POOLS :=  pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10 ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10 sp11 sp12 ;

param:		capacity	varcost		revenue		:=
f1		255.00		11.00		.
f2		78.00		37.00		.
f3		188.00		13.00		.
f4		162.00		33.00		.
f5		83.00		10.00		.
f6		80.00		29.00		.
f7		88.00		24.00		.
f8		92.00		27.00		.
f9		161.00		47.00		.
f10		224.00		44.00		.
f11		133.00		12.00		.
f12		219.00		29.00		.
f13		245.00		27.00		.
f14		83.00		30.00		.
f15		39.00		49.00		.
f16		151.00		42.00		.
f17		39.00		18.00		.
f18		9.00		11.00		.
f19		297.00		36.00		.
f20		265.00		15.00		.
pl1		125.00		.		.
pl2		136.00		.		.
pl3		122.00		.		.
pl4		68.00		.		.
pl5		184.00		.		.
pl6		73.00		.		.
pl7		57.00		.		.
pl8		152.00		.		.
pl9		131.00		.		.
pl10		197.00		.		.
B1		243.00		.		42.00
B2		29.00		.		43.00
B3		55.00		.		40.00
B4		91.00		.		41.00
B5		177.00		.		49.00
B6		277.00		.		49.00
B7		214.00		.		47.00
B8		47.00		.		45.00
B9		281.00		.		46.00
B10		183.00		.		46.00
B11		162.00		.		40.00
B12		80.00		.		49.00
B13		132.00		.		47.00
B14		10.00		.		48.00
B15		198.00		.		42.00		;

 set INPOOLARCS := (f1,pl3) , (f1,pl4) , (f1,pl7) , (f1,pl9) , (f2,pl5) , (f2,pl8) , (f2,pl10) , (f3,pl4) , (f3,pl6) , (f3,pl7) , (f3,pl8) , (f3,pl9) , (f4,pl3) , (f4,pl5) , (f4,pl8) , (f5,pl1) , (f5,pl4) , (f5,pl5) , (f5,pl9) , (f6,pl2) , (f6,pl5) , (f6,pl6) , (f6,pl8) , (f6,pl9) , (f7,pl3) , (f7,pl4) , (f7,pl5) , (f7,pl9) , (f8,pl4) , (f8,pl5) , (f8,pl9) , (f9,pl2) , (f9,pl3) , (f9,pl4) , (f9,pl6) , (f9,pl8) , (f10,pl3) , (f10,pl6) , (f11,pl1) , (f11,pl2) , (f11,pl5) , (f11,pl8) , (f12,pl2) , (f12,pl3) , (f12,pl6) , (f12,pl8) , (f12,pl9) , (f13,pl3) , (f13,pl5) , (f13,pl8) , (f13,pl9) , (f13,pl10) , (f14,pl2) , (f14,pl3) , (f14,pl5) , (f14,pl8) , (f15,pl1) , (f15,pl6) , (f16,pl5) , (f17,pl5) , (f17,pl6) , (f17,pl7) , (f17,pl9) , (f17,pl10) , (f18,pl3) , (f18,pl5) , (f18,pl6) , (f18,pl8) , (f18,pl9) , (f18,pl10) , (f19,pl3) , (f19,pl8) , (f19,pl9) , (f20,pl2) , (f20,pl3) , (f20,pl4) , (f20,pl8) , (f20,pl9)  ;

 set OUTPOOLARCS := (pl1,B2) , (pl1,B3) , (pl1,B4) , (pl1,B5) , (pl1,B14) , (pl2,B3) , (pl2,B12) , (pl3,B7) , (pl3,B10) , (pl3,B11) , (pl4,B4) , (pl4,B5) , (pl4,B7) , (pl4,B10) , (pl4,B11) , (pl5,B2) , (pl5,B3) , (pl5,B4) , (pl5,B5) , (pl5,B7) , (pl5,B9) , (pl5,B11) , (pl6,B2) , (pl6,B4) , (pl6,B8) , (pl6,B10) , (pl6,B11) , (pl6,B14) , (pl6,B15) , (pl7,B1) , (pl7,B2) , (pl7,B4) , (pl7,B7) , (pl7,B9) , (pl7,B15) , (pl8,B2) , (pl8,B3) , (pl8,B5) , (pl8,B14) , (pl8,B15) , (pl9,B4) , (pl9,B6) , (pl10,B5) , (pl10,B7) , (pl10,B10) , (pl10,B11) , (pl10,B12) , (pl10,B14)  ;

 set OUTPOOLARCS := (f1,B8) , (f1,B9) , (f1,B10) , (f2,B14) , (f3,B1) , (f3,B3) , (f3,B6) , (f3,B11) , (f3,B12) , (f4,B3) , (f4,B7) , (f4,B8) , (f4,B15) , (f5,B6) , (f5,B13) , (f6,B3) , (f7,B7) , (f7,B11) , (f8,B5) , (f8,B9) , (f8,B12) , (f8,B15) , (f9,B8) , (f10,B5) , (f10,B12) , (f11,B10) , (f11,B12) , (f12,B4) , (f12,B7) , (f12,B10) , (f12,B13) , (f13,B7) , (f14,B3) , (f14,B6) , (f14,B7) , (f15,B11) , (f16,B5) , (f16,B11) , (f16,B12) , (f17,B2) , (f17,B9) , (f17,B11) , (f18,B2) , (f18,B5) , (f18,B7) , (f19,B7) , (f19,B10) , (f19,B13) , (f19,B14) , (f20,B3) , (f20,B4) , (f20,B6) , (f20,B12)  ;

param              speclevel:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
f1   73.04   28.87   61.46   47.13   28.69   51.63   21.80   15.67   79.06   21.29   17.68   26.04
f2   63.05   16.50   10.64   78.75   3.16    30.03   58.63   8.66    62.92   51.17   1.04    0.28
f3   49.77   77.59   50.81   48.66   10.00   38.19   57.75   31.75   17.11   62.63   44.51   12.58
f4   61.62   53.63   55.56   40.49   75.28   5.53    0.78    33.95   4.96    36.69   44.75   5.47
f5   50.06   6.43    24.35   77.76   64.85   22.99   29.11   46.13   73.27   60.76   77.24   71.59
f6   35.36   49.83   55.81   32.59   22.66   4.65    25.42   69.47   44.18   20.13   60.91   16.84
f7   29.29   31.70   21.33   67.24   49.64   32.31   50.55   18.58   37.37   34.76   48.17   23.38
f8   13.76   66.62   47.31   55.35   1.46    40.85   26.81   36.62   30.84   64.17   32.73   5.75
f9   38.13   64.13   54.64   11.79   79.39   63.02   71.09   15.60   34.07   41.32   25.53   68.21
f10  26.51   46.48   66.24   21.00   49.62   16.20   33.27   49.59   47.09   31.99   62.53   48.27
f11  26.79   43.80   66.28   62.18   46.35   44.48   52.25   59.89   52.94   72.24   39.03   78.16
f12  72.77   16.57   16.33   46.62   25.91   9.47    56.15   13.48   79.30   58.49   1.81    60.00
f13  14.13   14.09   48.20   4.71    14.55   23.80   28.29   15.58   64.28   43.96   33.26   26.95
f14  21.41   22.91   37.79   56.31   42.14   13.22   46.50   34.96   49.20   24.17   76.03   46.59
f15  56.41   27.78   0.22    72.13   46.37   53.65   20.27   11.41   32.78   11.36   69.94   37.14
f16  14.47   37.10   47.62   41.39   35.46   78.53   47.10   65.70   49.92   24.24   69.51   33.35
f17  15.25   58.13   17.32   54.78   78.67   32.78   62.33   67.22   78.45   60.16   73.16   9.29
f18  20.01   51.02   0.45    34.09   37.78   70.77   33.41   26.48   79.14   40.71   27.48   6.53
f19  6.49    54.69   36.33   10.50   4.06    47.58   22.89   61.03   49.01   61.54   41.98   70.18
f20  11.22   75.25   35.42   63.76   6.36    51.47   79.50   34.97   44.92   48.93   41.37   74.82    ;

param              minspec:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
B1   2.88    14.48   16.91   17.48   2.30    17.11   6.21    8.06    15.06   2.41    15.67   14.31
B2   19.31   16.42   7.21    11.50   6.08    0.24    11.40   10.70   5.23    5.11    7.57    10.95
B3   2.50    7.21    12.55   4.56    8.90    2.07    12.04   15.85   2.64    1.80    19.60   16.01
B4   9.31    9.51    11.04   6.02    5.63    15.87   10.43   14.34   11.52   0.55    8.87    1.74
B5   16.80   9.79    9.70    16.95   19.69   7.79    13.76   14.09   10.75   19.00   14.14   16.67
B6   8.23    18.41   9.90    9.52    8.35    12.59   19.38   5.45    10.05   14.54   11.65   9.08
B7   10.57   6.15    4.98    8.80    2.88    11.70   7.84    15.02   13.42   2.30    3.86    8.35
B8   18.75   2.48    0.23    15.35   1.28    15.05   10.13   7.79    9.94    8.08    4.27    0.36
B9   3.20    7.02    4.68    11.23   15.27   15.75   12.66   14.11   16.47   12.12   2.08    12.52
B10  4.72    16.98   2.57    18.77   14.76   10.56   4.12    19.04   17.49   18.11   15.92   9.88
B11  4.59    8.03    5.43    14.01   8.91    12.74   18.84   6.56    12.94   6.05    14.95   17.91
B12  4.91    3.63    11.13   12.50   1.41    17.14   13.24   1.13    9.29    0.87    9.45    0.36
B13  7.72    14.63   0.21    7.76    18.63   2.28    9.16    15.49   14.41   14.63   0.28    13.60
B14  12.60   2.56    18.65   3.02    15.91   5.73    2.96    19.90   3.02    18.28   17.43   16.49
B15  0.50    10.17   5.38    19.21   4.29    17.35   14.76   6.20    1.57    0.13    10.60   19.33    ;

param              maxspec:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
B1   59.29   34.11   95.41   61.20   35.15   27.78   20.92   88.92   37.04   57.21   54.16   31.88
B2   76.43   28.61   34.50   84.16   59.76   75.40   56.68   62.18   40.30   99.62   46.90   79.91
B3   88.93   45.80   68.37   54.06   53.13   69.55   34.03   79.29   32.89   22.32   33.81   21.31
B4   98.77   67.99   61.45   57.89   23.57   55.50   27.99   69.07   81.06   88.66   98.22   92.09
B5   27.29   80.20   51.61   91.24   41.13   69.01   26.96   64.64   98.01   41.15   80.32   58.33
B6   95.37   84.84   97.75   22.76   49.41   54.34   91.85   49.23   44.85   78.24   34.22   66.49
B7   83.88   33.30   61.36   44.76   83.78   78.96   72.74   30.43   49.28   82.32   54.94   66.59
B8   45.04   23.74   41.20   29.05   21.00   34.22   82.40   74.52   42.48   65.42   41.70   46.46
B9   24.84   68.92   54.87   45.94   44.72   92.47   71.84   83.53   87.75   69.25   29.37   95.48
B10  82.50   92.26   82.35   90.76   66.37   53.98   71.51   29.04   51.24   25.32   43.80   52.58
B11  100.00  73.76   89.19   85.15   22.85   74.95   63.61   29.05   22.62   83.49   84.44   38.13
