data;

set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8  f9  f10  f11  f12  f13  f14  f15  f16  f17  f18  f19  f20  ;

set BLENDS := B1  B2  B3  B4  B5  B6  B7  B8  B9  B10  B11  B12  B13  B14  B15  ;

set POOLS :=  pl1  pl2  pl3  pl4  pl5  pl6  pl7  pl8  pl9  pl10 ;

set SPECS := sp1  sp2  sp3  sp4  sp5  sp6  sp7  sp8  sp9  sp10 sp11 sp12 ;

param:		capacity	varcost		revenue		:=
f1		223.00		27.00		.
f2		290.00		40.00		.
f3		55.00		44.00		.
f4		25.00		25.00		.
f5		230.00		31.00		.
f6		76.00		44.00		.
f7		30.00		50.00		.
f8		22.00		25.00		.
f9		208.00		11.00		.
f10		169.00		11.00		.
f11		48.00		26.00		.
f12		83.00		27.00		.
f13		99.00		43.00		.
f14		189.00		14.00		.
f15		7.00		20.00		.
f16		219.00		33.00		.
f17		280.00		40.00		.
f18		276.00		24.00		.
f19		48.00		36.00		.
f20		276.00		27.00		.
pl1		142.00		.		.
pl2		139.00		.		.
pl3		183.00		.		.
pl4		116.00		.		.
pl5		113.00		.		.
pl6		74.00		.		.
pl7		129.00		.		.
pl8		87.00		.		.
pl9		92.00		.		.
pl10		66.00		.		.
B1		172.00		.		50.00
B2		33.00		.		43.00
B3		13.00		.		46.00
B4		212.00		.		45.00
B5		285.00		.		45.00
B6		32.00		.		46.00
B7		238.00		.		41.00
B8		255.00		.		41.00
B9		189.00		.		47.00
B10		253.00		.		49.00
B11		71.00		.		47.00
B12		6.00		.		45.00
B13		265.00		.		46.00
B14		141.00		.		47.00
B15		119.00		.		46.00		;

 set INPOOLARCS := (f1,pl7) , (f1,pl9) , (f2,pl3) , (f2,pl5) , (f2,pl6) , (f2,pl7) , (f2,pl9) , (f3,pl4) , (f3,pl10) , (f4,pl3) , (f4,pl4) , (f4,pl8) , (f5,pl2) , (f5,pl5) , (f5,pl10) , (f6,pl2) , (f6,pl4) , (f6,pl6) , (f6,pl7) , (f6,pl10) , (f7,pl2) , (f7,pl6) , (f7,pl8) , (f8,pl2) , (f8,pl4) , (f8,pl5) , (f8,pl8) , (f8,pl9) , (f9,pl4) , (f9,pl8) , (f9,pl9) , (f9,pl10) , (f10,pl2) , (f10,pl3) , (f10,pl4) , (f10,pl9) , (f10,pl10) , (f11,pl1) , (f11,pl5) , (f11,pl6) , (f11,pl7) , (f11,pl9) , (f11,pl10) , (f12,pl4) , (f12,pl6) , (f13,pl1) , (f13,pl2) , (f13,pl6) , (f13,pl7) , (f13,pl10) , (f14,pl4) , (f14,pl5) , (f14,pl8) , (f14,pl9) , (f15,pl1) , (f15,pl3) , (f15,pl4) , (f15,pl7) , (f15,pl9) , (f16,pl5) , (f16,pl8) , (f16,pl9) , (f17,pl2) , (f17,pl3) , (f17,pl6) , (f17,pl10) , (f18,pl2) , (f18,pl4) , (f18,pl5) , (f18,pl7) , (f18,pl8) , (f18,pl9) , (f19,pl1) , (f19,pl2) , (f19,pl3) , (f19,pl5) , (f20,pl3) , (f20,pl4) , (f20,pl5) , (f20,pl7) , (f20,pl8) , (f20,pl9)  ;

 set OUTPOOLARCS := (pl1,B9) , (pl1,B12) , (pl2,B3) , (pl2,B4) , (pl2,B9) , (pl2,B11) , (pl2,B12) , (pl2,B13) , (pl3,B3) , (pl3,B4) , (pl3,B6) , (pl3,B8) , (pl3,B10) , (pl3,B11) , (pl3,B12) , (pl3,B13) , (pl3,B15) , (pl4,B2) , (pl4,B5) , (pl4,B7) , (pl4,B12) , (pl4,B13) , (pl4,B15) , (pl5,B4) , (pl5,B7) , (pl5,B11) , (pl5,B13) , (pl5,B14) , (pl5,B15) , (pl6,B3) , (pl6,B4) , (pl6,B9) , (pl6,B14) , (pl7,B1) , (pl7,B3) , (pl7,B4) , (pl7,B5) , (pl7,B10) , (pl7,B13) , (pl7,B14) , (pl7,B15) , (pl8,B2) , (pl8,B3) , (pl8,B5) , (pl8,B6) , (pl8,B7) , (pl8,B15) , (pl9,B4) , (pl9,B5) , (pl9,B6) , (pl9,B10) , (pl10,B1) , (pl10,B2) , (pl10,B5) , (pl10,B6) , (pl10,B7) , (pl10,B11) , (pl10,B13)  ;

 set OUTPOOLARCS := (f1,B1) , (f1,B13) , (f2,B10) , (f2,B12) , (f2,B14) , (f3,B8) , (f4,B5) , (f5,B2) , (f5,B4) , (f5,B10) , (f5,B11) , (f5,B14) , (f6,B9) , (f6,B14) , (f7,B3) , (f7,B4) , (f7,B8) , (f8,B7) , (f8,B10) , (f8,B11) , (f8,B15) , (f10,B5) , (f10,B15) , (f11,B1) , (f11,B3) , (f11,B4) , (f11,B9) , (f12,B3) , (f12,B10) , (f12,B12) , (f13,B5) , (f14,B6) , (f15,B1) , (f15,B13) , (f15,B14) , (f16,B7) , (f16,B12) , (f17,B2) , (f17,B7) , (f17,B8) , (f17,B15) , (f18,B7) , (f18,B13) , (f19,B2) , (f19,B4) , (f19,B5) , (f19,B10) , (f19,B15) , (f20,B1) , (f20,B6) , (f20,B12) , (f20,B15)  ;

param              speclevel:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
f1   18.86   22.83   1.84    22.30   61.77   11.66   12.52   67.07   43.49   59.10   67.17   33.35
f2   77.82   77.89   13.26   37.68   22.34   6.71    49.99   2.99    60.95   23.38   46.03   71.49
f3   57.06   62.48   76.92   44.10   35.83   17.35   27.55   68.13   72.19   53.61   3.49    66.07
f4   48.33   57.07   51.62   21.22   30.17   15.31   17.98   29.37   53.69   23.67   15.42   3.25
f5   51.92   27.45   59.29   20.11   20.94   79.50   76.06   68.00   13.44   43.61   72.90   77.59
f6   3.93    47.48   68.76   42.30   16.83   45.83   57.07   76.21   23.40   74.19   22.94   58.55
f7   74.51   40.98   32.59   13.72   51.42   2.69    49.72   1.19    38.40   19.97   63.07   70.98
f8   68.34   26.68   64.22   44.93   50.92   28.19   58.49   24.16   34.30   47.23   48.06   29.43
f9   72.98   26.06   73.53   48.44   1.37    23.94   12.55   64.47   34.21   10.80   2.89    53.15
f10  49.00   26.74   50.08   11.88   13.60   45.93   19.70   31.11   14.71   10.57   61.01   64.60
f11  34.31   42.32   38.86   51.14   33.46   34.07   75.83   60.51   24.08   34.82   75.70   30.54
f12  53.43   44.81   36.83   67.89   13.17   21.06   11.51   55.14   2.47    57.38   61.01   41.50
f13  74.58   14.12   10.91   7.77    58.52   76.92   15.64   52.56   56.86   48.22   61.94   61.69
f14  49.38   69.64   60.17   23.03   17.44   66.83   28.50   73.73   50.66   52.99   42.83   3.88
f15  75.05   35.10   55.62   72.50   48.08   12.34   7.84    29.08   42.59   53.51   31.53   40.30
f16  38.95   46.80   8.50    51.63   37.06   67.37   6.68    73.24   49.43   26.28   54.05   64.46
f17  11.46   6.72    38.25   11.87   78.54   62.68   22.74   69.12   13.39   13.99   29.65   45.73
f18  66.09   22.19   30.91   36.50   28.51   21.50   8.26    48.19   21.26   52.10   57.61   48.82
f19  32.02   8.83    50.34   53.80   39.94   23.96   66.64   18.61   69.43   79.94   0.91    68.42
f20  43.23   66.80   42.46   30.22   18.25   12.59   7.18    63.24   6.02    17.41   63.89   41.14    ;

param              minspec:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
B1   6.25    6.88    1.90    16.74   3.44    2.85    4.81    13.74   6.86    10.74   3.72    14.02
B2   1.80    14.34   4.65    13.68   4.97    4.77    4.90    2.82    7.30    19.50   16.04   1.20
B3   9.87    10.22   15.45   14.84   13.38   11.42   14.04   2.88    1.26    3.03    8.18    2.99
B4   14.07   1.53    5.61    19.33   11.04   10.12   8.12    12.33   10.07   13.35   10.36   7.38
B5   10.86   6.36    7.72    3.85    2.14    12.49   0.71    8.84    11.62   12.68   16.79   7.55
B6   9.73    19.87   19.78   16.40   1.80    5.22    2.36    12.42   0.08    19.24   9.48    6.18
B7   10.28   9.17    2.46    12.30   8.74    19.76   10.25   15.48   16.59   11.46   10.13   18.31
B8   15.48   9.75    14.33   4.02    6.16    1.92    18.99   1.77    11.73   18.54   9.20    7.98
B9   1.82    3.60    0.34    4.35    15.15   10.18   15.11   16.48   13.79   0.27    3.00    6.28
B10  14.97   4.85    1.25    12.63   0.13    11.26   11.96   18.22   7.70    1.52    18.67   3.08
B11  17.03   2.09    9.50    17.09   7.14    19.01   15.09   13.44   4.19    13.18   13.48   2.52
B12  4.57    1.85    16.52   10.09   14.29   18.11   1.20    6.47    15.87   11.54   13.64   3.54
B13  17.52   8.24    4.87    6.07    0.40    4.72    17.32   13.23   12.37   0.78    4.36    7.08
B14  13.50   5.29    6.66    8.93    11.90   3.97    6.87    3.86    18.93   9.38    5.67    10.48
B15  11.17   4.76    9.15    0.63    0.79    19.05   9.96    3.77    16.12   11.97   8.02    18.27    ;

param              maxspec:
      sp1     sp2     sp3     sp4     sp5     sp6     sp7     sp8     sp9     sp10    sp11    sp12    :=
B1   81.11   34.59   35.71   95.38   45.67   63.84   88.97   64.43   67.38   84.05   20.96   73.47
B2   83.60   39.14   39.75   96.71   62.85   39.96   95.03   75.62   31.52   64.09   39.06   29.53
B3   55.76   40.87   99.73   44.88   58.37   74.22   84.11   42.10   23.67   62.65   95.62   83.90
B4   80.59   77.19   73.06   42.22   22.95   56.97   63.65   26.10   58.58   63.94   77.00   83.25
B5   34.95   69.89   83.85   66.89   93.43   36.72   47.00   43.51   29.35   85.12   25.69   33.35
B6   37.69   56.26   56.56   21.14   89.79   87.94   38.85   40.10   84.34   83.22   90.40   37.95
B7   22.99   99.41   81.03   91.42   20.82   43.94   74.38   68.89   42.20   87.15   38.75   83.80
B8   90.65   68.20   57.18   79.84   77.05   77.32   89.49   80.17   52.68   26.80   82.98   24.07
B9   56.42   34.30   58.45   66.59   28.91   99.15   55.23   99.10   97.10   97.95   80.20   23.98
B10  44.20   46.46   25.40   78.21   70.62   94.91   85.39   92.02   66.89   73.38   46.31   87.09
B11  32.06   69.15   95.12   69.34   57.19   71.25   88.34   34.01   78.70   28.35   59.90   43.46
B12  20.52   88.54   47.84   62.74   43.13   56.36   67.92   55.93   65.90   29.25   60.42   40.49
B13  94.67   38.63   46.71   62.69   64.92   37.55   88.04   59.23   24.41   45.97   34.76   46.46
